City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Vista Hermosa,MX,76.55,scattered clouds,19.5167,-99.2167,Krystal Satélite María Bárbara
6,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
11,Atuona,PF,78.04,few clouds,-9.8,-139.0333,Villa Enata
17,Avarua,CK,75.25,light rain,-21.2078,-159.775,Paradise Inn
27,Kapoeta,SS,84.06,scattered clouds,4.7717,33.5903,Eastgate Hotel
30,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
33,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
35,Abonnema,NG,78.42,light rain,4.7084,6.7931,Corper's Lodge Obonoma
38,Xuddur,SO,76.98,broken clouds,4.1213,43.8894,Banjanay Hotel
43,Canavieiras,BR,80.56,scattered clouds,-15.675,-38.9472,Bahiadomizil
45,Balingasay,PH,80.96,clear sky,16.3573,119.8564,Rock Garden Resort
46,Cabo San Lucas,MX,87.19,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
49,Sawakin,SD,85.46,few clouds,19.1059,37.3321,فندق الدويم
65,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
67,San Luis,AR,89.78,overcast clouds,-33.295,-66.3356,Huarpes Hotel
68,Neuquen,AR,85.89,clear sky,-38.9516,-68.0591,Hotel del Comahue
71,Hirara,JP,75.4,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
72,Pauini,BR,81.07,heavy intensity rain,-7.7136,-66.9764,Casa do Kiwliks
74,Rio Grande,BR,89.71,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
78,Awbari,LY,76.15,broken clouds,26.5921,12.7805,فندق أوباري
81,Manta,EC,78.58,overcast clouds,-0.95,-80.7333,Balandra Hotel
84,Alice Springs,AU,83.75,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
85,Sao Filipe,CV,79.03,broken clouds,14.8961,-24.4956,Hotel Xaguate
93,Bontang,ID,78.44,few clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
99,Faanui,PF,79.74,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
102,Lasem,ID,78.75,overcast clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Restaurant & Community Center"
106,Padang,ID,75.25,broken clouds,-0.9492,100.3543,Mercure Padang
107,Kavaratti,IN,81.52,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
109,Kapaa,US,80.58,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
116,Esmeraldas,BR,89.71,overcast clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
118,Buala,SB,79.93,light rain,-8.145,159.5921,Maringe Lagoon Lodge
119,Hithadhoo,MV,82.53,clear sky,-0.6,73.0833,Scoop Guest House
120,Butaritari,KI,81.7,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
122,La Barca,MX,77.16,overcast clouds,20.2833,-102.5667,Hotel Restaurant Real De La Barca
124,Tacuarembo,UY,88.2,clear sky,-31.7333,-55.9833,Complejo San Fructuoso
127,Tual,ID,83.19,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
128,Guerrero Negro,MX,78.15,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
131,Hilo,US,79.25,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
132,Arraial Do Cabo,BR,76.96,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
149,Sao Joao Da Barra,BR,80.69,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
150,Lazaro Cardenas,MX,84.67,overcast clouds,17.9583,-102.2,quinta antigua
152,Tomatlan,MX,88.3,overcast clouds,19.9333,-105.25,El Salvial
156,Upata,VE,82.18,overcast clouds,8.0086,-62.3989,Posada Villa Nela
160,Maceio,BR,83.64,few clouds,-9.6658,-35.7353,Poutur Pousada
162,Mar Del Plata,AR,77.02,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
166,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
168,Pine Castle,US,85.68,broken clouds,28.472,-81.3679,Best Western Airport Inn & Suites
180,Samarai,PG,81.28,overcast clouds,-10.6167,150.6667,Nuli Sapi
182,Jizan,SA,83.34,clear sky,17.3333,42.6667,شهدان. ابوالحجر
183,Nizwa,OM,75.27,overcast clouds,22.9333,57.5333,Orient Apartments
185,Puerto Escondido,MX,88.63,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
188,Lorengau,PG,81.37,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
