City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Barrow,US,71.2906,-156.7887,15.82,79,20,8.05,few clouds
1,Vista Hermosa,MX,19.5167,-99.2167,76.55,33,40,8.05,scattered clouds
2,Kodiak,US,57.79,-152.4072,42.31,49,1,3.44,clear sky
3,Busselton,AU,-33.65,115.3333,46.04,80,47,8.79,scattered clouds
4,Vestmannaeyjar,IS,63.4427,-20.2734,43.68,69,55,12.24,broken clouds
5,Suriapet,IN,17.15,79.6167,70.75,68,78,6.96,broken clouds
6,Puerto Ayora,EC,-0.7393,-90.3518,75.16,91,90,8.01,overcast clouds
7,Whyalla,AU,-33.0333,137.5833,60.69,94,75,11.5,broken clouds
8,Maniitsoq,GL,65.4167,-52.9,30.43,53,92,7.29,overcast clouds
9,Cidreira,BR,-30.1811,-50.2056,74.61,61,0,9.93,clear sky
10,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,100,90,4.61,overcast clouds
11,Atuona,PF,-9.8,-139.0333,78.04,67,16,15.66,few clouds
12,Lao Cai,VN,22.4833,103.95,68.38,89,32,0.83,scattered clouds
13,San Juan,AR,-31.5375,-68.5364,94.69,9,7,5.99,clear sky
14,Dudinka,RU,69.4058,86.1778,-6.63,98,97,8.7,overcast clouds
15,Mataura,NZ,-46.1927,168.8643,51.19,88,14,2.91,few clouds
16,Bambous Virieux,MU,-20.3428,57.7575,72.21,83,20,5.75,few clouds
17,Avarua,CK,-21.2078,-159.775,75.25,78,40,9.22,light rain
18,Seoul,KR,37.5683,126.9778,45.84,50,0,1.63,clear sky
19,Brigham City,US,41.5102,-112.0155,51.82,61,90,1.99,overcast clouds
20,Coihaique,CL,-45.5752,-72.0662,60.75,44,75,13.8,broken clouds
21,Kumluca,TR,36.3703,30.2869,67.24,68,99,4.65,light rain
22,Hermanus,ZA,-34.4187,19.2345,70.81,87,99,6.91,overcast clouds
23,Khatanga,RU,71.9667,102.5,4.82,93,100,11.86,overcast clouds
24,Punta Arenas,CL,-53.15,-70.9167,55.42,54,0,39.12,clear sky
25,Norman Wells,CA,65.282,-126.8329,23.04,86,90,3.44,light snow
26,Pevek,RU,69.7008,170.3133,9.82,94,100,12.24,light snow
27,Kapoeta,SS,4.7717,33.5903,84.06,39,35,6.67,scattered clouds
28,Felipe Carrillo Puerto,MX,19.5833,-88.05,92.26,48,98,6.96,overcast clouds
29,Rikitea,PF,-23.1203,-134.9692,73.62,78,22,6.64,few clouds
30,Salalah,OM,17.0151,54.0924,77.09,65,0,2.3,clear sky
31,Ashcroft,CA,50.7165,-121.2859,55.62,56,65,6.8,broken clouds
32,Ushuaia,AR,-54.8,-68.3,53.22,62,40,25.32,scattered clouds
33,Vaini,TO,-21.2,-175.2,77.16,83,75,9.22,broken clouds
34,Belaya Gora,RU,68.5333,146.4167,-4.76,97,98,2.04,overcast clouds
35,Abonnema,NG,4.7084,6.7931,78.42,83,86,5.53,light rain
36,Zafra,ES,38.4167,-6.4167,63.88,41,11,5.19,few clouds
37,Castro,BR,-24.7911,-50.0119,68.58,82,100,7.85,overcast clouds
38,Xuddur,SO,4.1213,43.8894,76.98,68,69,6.91,broken clouds
39,Balkanabat,TM,39.5108,54.3671,48.99,68,7,8.21,clear sky
40,New Norfolk,AU,-42.7826,147.0587,56.7,53,2,3.65,clear sky
41,Bredasdorp,ZA,-34.5322,20.0403,70.29,89,100,13.94,light rain
42,Gopinathpur,IN,22.65,86.0667,73.04,77,50,4.25,scattered clouds
43,Canavieiras,BR,-15.675,-38.9472,80.56,67,32,9.17,scattered clouds
44,Viedma,AR,-40.8135,-62.9967,90.54,13,0,14.45,clear sky
45,Balingasay,PH,16.3573,119.8564,80.96,80,5,8.5,clear sky
46,Cabo San Lucas,MX,22.8909,-109.9124,87.19,57,1,16.11,clear sky
47,Porto Nacional,BR,-10.7081,-48.4172,93.2,20,5,8.08,clear sky
48,Albany,US,42.6001,-73.9662,60.8,68,99,8.61,overcast clouds
49,Sawakin,SD,19.1059,37.3321,85.46,75,15,5.17,few clouds
50,Sobolevo,RU,54.4299,31.8996,41.0,91,92,11.61,overcast clouds
51,Inuvik,CA,68.3499,-133.7218,27.46,100,90,1.14,light snow
52,Ponta Do Sol,PT,32.6667,-17.1,71.01,61,13,3.67,few clouds
53,Lavrentiya,RU,65.5833,-171.0,13.87,74,56,7.99,broken clouds
54,Longyearbyen,SJ,78.2186,15.6401,21.04,68,40,12.66,scattered clouds
55,Shahrud,IR,36.4182,54.9763,39.69,69,2,7.36,clear sky
56,Bluff,NZ,-46.6,168.3333,51.89,86,13,7.18,few clouds
57,Souillac,MU,-20.5167,57.5167,72.36,83,20,5.75,few clouds
58,Adrar,MR,20.5022,-10.0711,75.96,44,14,16.96,few clouds
59,Cape Town,ZA,-33.9258,18.4232,68.88,67,0,1.99,clear sky
60,Tasiilaq,GL,65.6145,-37.6368,24.37,68,68,4.83,broken clouds
61,Pestravka,RU,52.405,49.9583,39.42,51,82,15.82,broken clouds
62,Bethel,US,41.3712,-73.414,58.28,79,90,1.99,overcast clouds
63,Muroto,JP,33.2833,134.15,65.08,67,0,7.25,clear sky
64,Bundaberg,AU,-24.85,152.35,74.21,92,4,1.01,clear sky
65,Acapulco,MX,16.8634,-99.8901,85.82,74,1,6.91,clear sky
66,East London,ZA,-33.0153,27.9116,67.42,82,100,27.04,overcast clouds
67,San Luis,AR,-33.295,-66.3356,89.78,13,100,21.43,overcast clouds
68,Neuquen,AR,-38.9516,-68.0591,85.89,20,0,8.05,clear sky
69,Nemuro,JP,43.3236,145.575,54.9,83,63,11.25,broken clouds
70,Saskylakh,RU,71.9167,114.0833,-10.26,100,100,2.51,overcast clouds
71,Hirara,JP,24.8,125.2833,75.4,59,70,17.16,broken clouds
72,Pauini,BR,-7.7136,-66.9764,81.07,88,91,3.13,heavy intensity rain
73,Fortuna,US,40.5982,-124.1573,67.35,69,75,1.99,broken clouds
74,Rio Grande,BR,-32.035,-52.0986,89.71,63,0,8.9,clear sky
75,Qaanaaq,GL,77.484,-69.3632,20.08,94,100,10.78,overcast clouds
76,Port Alfred,ZA,-33.5906,26.891,66.76,85,100,34.4,light rain
77,Hobart,AU,-42.8794,147.3294,57.06,74,0,17.27,clear sky
78,Awbari,LY,26.5921,12.7805,76.15,23,61,9.84,broken clouds
79,Russkaya Polyana,UA,49.417,31.9201,43.9,68,11,5.28,few clouds
80,Torbay,CA,47.6666,-52.7314,43.29,83,100,3.0,overcast clouds
81,Manta,EC,-0.95,-80.7333,78.58,78,90,10.36,overcast clouds
82,Amnat Charoen,TH,15.9167,104.75,71.2,86,100,18.28,overcast clouds
83,Polyarnyy,RU,69.1989,33.4478,14.47,69,61,8.9,broken clouds
84,Alice Springs,AU,-23.7,133.8833,83.75,37,75,11.5,broken clouds
85,Sao Filipe,CV,14.8961,-24.4956,79.03,76,71,9.15,broken clouds
86,Talnakh,RU,69.4865,88.3972,-2.24,99,92,11.14,overcast clouds
87,Bud,US,39.447,-86.1758,60.21,56,14,6.87,few clouds
88,Mahebourg,MU,-20.4081,57.7,72.25,83,20,5.75,few clouds
89,Whitehorse,CA,60.7161,-135.0538,33.1,93,90,1.99,overcast clouds
