City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bardiyah,LY,2021-10-25 21:56:04,31.7561,25.0865,70.29,75,67,14.29
1,Mbandaka,CD,2021-10-25 21:56:04,0.0487,18.2603,71.53,87,77,3.18
2,Albany,US,2021-10-25 21:54:16,42.6001,-73.9662,55.94,90,100,3.27
3,Chokurdakh,RU,2021-10-25 21:56:04,70.6333,147.9167,-23.42,100,97,1.77
4,Motygino,RU,2021-10-25 21:56:05,58.1831,94.7592,40.8,75,98,15.86
5,Vardo,NO,2021-10-25 21:56:05,70.3705,31.1107,32.2,78,100,23.2
6,Marsa Matruh,EG,2021-10-25 21:56:06,31.3525,27.2453,71.8,73,20,4.61
7,Ushuaia,AR,2021-10-25 21:56:06,-54.8,-68.3,33.46,93,40,21.85
8,Cururupu,BR,2021-10-25 21:56:06,-1.8283,-44.8683,79.61,79,38,5.79
9,Punta Arenas,CL,2021-10-25 21:52:41,-53.15,-70.9167,42.91,65,40,26.46
10,Hofn,IS,2021-10-25 21:56:07,64.2539,-15.2082,40.19,73,100,6.13
11,Hilo,US,2021-10-25 21:56:07,19.7297,-155.09,90.28,87,37,5.01
12,Victoria,HK,2021-10-25 21:53:59,22.2855,114.1577,75.33,76,99,1.99
13,Busselton,AU,2021-10-25 21:56:08,-33.65,115.3333,41.04,78,100,1.83
14,Beloha,MG,2021-10-25 21:56:08,-25.1667,45.05,71.69,92,24,9.78
15,Port Keats,AU,2021-10-25 21:56:09,-14.25,129.55,84.02,68,14,1.57
16,Mataura,NZ,2021-10-25 21:56:09,-46.1927,168.8643,62.76,70,89,1.99
17,Langenburg,DE,2021-10-25 21:56:09,49.2544,9.8458,47.75,87,40,2.3
18,Urucara,BR,2021-10-25 21:56:09,-2.5364,-57.76,82.35,65,74,2.35
19,Mandan,US,2021-10-25 21:56:10,46.8267,-100.8896,49.37,67,1,28.77
20,Geraldton,AU,2021-10-25 21:56:11,-28.7667,114.6,50.41,100,90,5.75
21,Broome,US,2021-10-25 21:56:11,42.2506,-75.833,66.0,75,46,5.86
22,Lebu,CL,2021-10-25 21:56:11,-37.6167,-73.65,54.95,84,7,13.67
23,Cabo San Lucas,MX,2021-10-25 21:55:55,22.8909,-109.9124,89.51,66,0,12.15
24,Wattegama,LK,2021-10-25 21:56:12,6.7989,81.4808,74.32,90,99,2.57
25,Husavik,IS,2021-10-25 21:56:12,66.0449,-17.3389,31.91,79,78,6.06
26,Yumen,CN,2021-10-25 21:56:12,40.2833,97.2,37.49,53,21,3.2
27,Angoche,MZ,2021-10-25 21:56:13,-16.2325,39.9086,77.74,90,0,5.95
28,Faya,SA,2021-10-25 21:56:13,18.3851,42.4509,59.11,74,0,2.51
29,Touros,BR,2021-10-25 21:54:49,-5.1989,-35.4608,81.5,72,1,16.44
30,Thompson,CA,2021-10-25 21:56:14,55.7435,-97.8558,41.16,65,75,4.61
31,Jamestown,US,2021-10-25 21:54:19,42.097,-79.2353,61.3,86,90,1.99
32,Bethel,US,2021-10-25 21:56:14,41.3712,-73.414,69.73,81,75,6.91
33,Bafoulabe,ML,2021-10-25 21:56:14,13.8065,-10.8321,79.39,73,100,3.0
34,Talaya,RU,2021-10-25 21:56:15,61.3833,152.75,-3.46,96,67,0.78
35,Chapais,CA,2021-10-25 21:56:15,49.7834,-74.8492,40.78,74,100,4.88
36,Waverly,US,2021-10-25 21:56:15,42.7392,-84.6208,48.45,92,90,13.8
37,Ambulu,ID,2021-10-25 21:56:16,-8.345,113.6058,76.42,84,93,1.16
38,Vaini,TO,2021-10-25 21:56:16,-21.2,-175.2,77.16,83,20,9.22
39,Kapaa,US,2021-10-25 21:56:16,22.0752,-159.319,79.12,86,90,1.99
40,Caibarien,CU,2021-10-25 21:56:16,22.5206,-79.4669,82.51,77,73,7.05
41,Saint George,US,2021-10-25 21:53:35,37.1041,-113.5841,81.07,23,75,10.0
42,Saint-Augustin,CA,2021-10-25 21:56:17,51.226,-58.6502,40.08,61,57,11.99
43,Severo-Kurilsk,RU,2021-10-25 21:56:17,50.6789,156.125,42.98,70,3,9.78
44,New Norfolk,AU,2021-10-25 21:56:18,-42.7826,147.0587,52.66,59,20,1.01
45,Sao Joao Da Barra,BR,2021-10-25 21:56:18,-21.6403,-41.0511,71.69,85,99,9.95
46,Manono,CD,2021-10-25 21:56:18,-7.3,27.4167,67.39,91,100,1.97
47,Piacabucu,BR,2021-10-25 21:56:18,-10.4056,-36.4344,77.92,80,0,10.22
48,Carutapera,BR,2021-10-25 21:56:19,-1.195,-46.02,80.85,78,36,9.24
49,Dingle,PH,2021-10-25 21:56:19,10.9995,122.6711,75.34,93,94,5.55
50,Rorvik,NO,2021-10-25 21:56:19,64.8621,11.2373,50.29,80,100,15.86
51,Hobart,AU,2021-10-25 21:56:20,-42.8794,147.3294,53.02,66,75,1.01
52,Kodiak,US,2021-10-25 21:56:20,57.79,-152.4072,41.0,88,100,8.5
53,Rajshahi,BD,2021-10-25 21:56:20,24.3667,88.6,73.89,77,29,3.83
54,Sinnamary,GF,2021-10-25 21:56:21,5.3833,-52.95,77.72,90,100,9.91
55,Nara,JP,2021-10-25 21:56:21,34.6851,135.8049,55.98,91,75,2.51
56,Avarua,CK,2021-10-25 21:56:21,-21.2078,-159.775,77.05,61,75,12.66
57,Anloga,GH,2021-10-25 21:56:22,5.7947,0.8973,82.62,80,100,12.12
58,Malabo,GQ,2021-10-25 21:53:46,3.75,8.7833,76.86,94,20,4.61
59,Rikitea,PF,2021-10-25 21:56:22,-23.1203,-134.9692,75.22,72,86,20.02
60,San Andres,CO,2021-10-25 21:56:22,12.5847,-81.7006,87.82,74,40,5.75
61,Mandali,IQ,2021-10-25 21:56:23,33.7499,45.5541,70.34,17,0,6.6
62,San Cristobal,VE,2021-10-25 21:56:23,7.7669,-72.225,78.98,94,89,2.75
63,Jiayuguan,CN,2021-10-25 21:56:23,39.8167,98.3,41.2,62,100,4.97
64,Plettenberg Bay,ZA,2021-10-25 21:56:23,-34.0527,23.3716,58.37,89,16,4.85
65,Quatre Cocos,MU,2021-10-25 21:56:24,-20.2078,57.7625,69.91,74,23,17.22
66,Qaanaaq,GL,2021-10-25 21:56:24,77.484,-69.3632,1.99,58,53,13.53
67,Bairiki,KI,2021-10-25 21:56:24,1.3292,172.9752,84.2,74,40,6.91
68,Bredasdorp,ZA,2021-10-25 21:56:25,-34.5322,20.0403,61.29,90,21,11.18
69,Saskylakh,RU,2021-10-25 21:56:25,71.9167,114.0833,-1.98,97,100,2.66
70,Fartura,BR,2021-10-25 21:56:25,-23.3883,-49.51,69.03,77,92,7.38
71,Paka,MY,2021-10-25 21:56:26,4.6374,103.4368,76.98,94,37,0.0
72,Lorengau,PG,2021-10-25 21:56:26,-2.0226,147.2712,83.48,71,42,4.43
73,Marawi,PH,2021-10-25 21:56:26,7.9986,124.2928,66.65,90,97,1.77
74,Lata,PT,2021-10-25 21:56:27,40.1629,-8.3327,57.06,93,0,2.71
